file,line,module,bound_name,confidence
rl/presets/families/plan_faithful/v3_router.py,4,rl.config.ppo_config.TrainMode,TrainMode,high
rl/presets/families/plan_faithful/v4_proof.py,2,__future__.annotations,annotations,high
rl/presets/families/plan_faithful/v4_proof.py,4,rl.config.ppo_config.TrainMode,TrainMode,high
rl/presets/families/plan_faithful/v5_repertoire.py,2,__future__.annotations,annotations,high
rl/presets/families/plan_faithful/v5_repertoire.py,4,rl.config.ppo_config.TrainMode,TrainMode,high
rl/presets/families/plan_faithful/v6_router_adapters.py,2,__future__.annotations,annotations,high
rl/presets/families/plan_faithful/__init__.py,2,__future__.annotations,annotations,high
rl/training/arguments.py,17,__future__.annotations,annotations,high
rl/training/banner.py,43,__future__.annotations,annotations,high
rl/training/cli.py,18,__future__.annotations,annotations,high
rl/training/config_validation.py,26,__future__.annotations,annotations,high
rl/training/env_factory.py,15,__future__.annotations,annotations,high
rl/training/errors.py,9,__future__.annotations,annotations,high
rl/training/factories.py,14,__future__.annotations,annotations,high
rl/training/initialization.py,18,__future__.annotations,annotations,high
rl/training/lifecycle.py,13,__future__.annotations,annotations,high
rl/training/orchestrator.py,25,__future__.annotations,annotations,high
rl/training/overrides.py,23,__future__.annotations,annotations,high
rl/training/overrides.py,27,typing.Optional,Optional,high
rl/training/resolved_config.py,18,__future__.annotations,annotations,high
rl/training/resolved_config.py,26,rl.training.config_validation._normalize_train_mode,_normalize_train_mode,high
rl/training/run_artifacts.py,16,__future__.annotations,annotations,high
rl/training/run_context.py,13,__future__.annotations,annotations,high
gpu_env/_adapter.py,2,__future__.annotations,annotations,high
gpu_env/_config.py,1,__future__.annotations,annotations,high
gpu_env/_constants.py,1,__future__.annotations,annotations,high
gpu_env/_core_class.py,2,__future__.annotations,annotations,high
gpu_env/_envs.py,2,__future__.annotations,annotations,high
gpu_env/_episode_payload.py,1,__future__.annotations,annotations,high
gpu_env/_maps.py,1,__future__.annotations,annotations,high
gpu_env/_monolith.py,2,__future__.annotations,annotations,high
gpu_env/_navigation_telemetry.py,2,__future__.annotations,annotations,high
gpu_env/_paths.py,1,__future__.annotations,annotations,high
gpu_env/_specs.py,1,__future__.annotations,annotations,high
gpu_env/__init__.py,10,__future__.annotations,annotations,high
gpu_env/state/agent_state.py,6,__future__.annotations,annotations,high
gpu_env/state/allocation.py,8,__future__.annotations,annotations,high
gpu_env/state/episode_state.py,7,__future__.annotations,annotations,high
gpu_env/state/flag_state.py,7,__future__.annotations,annotations,high
gpu_env/state/map_state.py,7,__future__.annotations,annotations,high
gpu_env/state/models.py,9,__future__.annotations,annotations,high
gpu_env/state/opponent_state.py,12,__future__.annotations,annotations,high
gpu_env/state/opponent_state.py,18,_paths._resolve_snapshot_path,_resolve_snapshot_path,high
gpu_env/state/scratch.py,10,__future__.annotations,annotations,high
gpu_env/state/snapshots.py,8,__future__.annotations,annotations,high
gpu_env/state/team_state.py,7,__future__.annotations,annotations,high
gpu_env/state/telemetry_state.py,9,__future__.annotations,annotations,high
gpu_env/state/validation.py,8,__future__.annotations,annotations,high
gpu_env/_core/_dynamics.py,2,__future__.annotations,annotations,high
gpu_env/_core/_metrics.py,2,__future__.annotations,annotations,high
gpu_env/_core/_metrics.py,4,math,math,high
gpu_env/_core/_metrics.py,5,typing.Any,Any,high
gpu_env/_core/_metrics.py,5,typing.Dict,Dict,high
gpu_env/_core/_metrics.py,10,macro_actions.MacroAction,MacroAction,high
gpu_env/_core/_metrics.py,31,_episode_payload._build_episode_result_payload,_build_episode_result_payload,high
gpu_env/_core/_mines.py,2,__future__.annotations,annotations,high
gpu_env/_core/_mines.py,4,math,math,high
gpu_env/_core/_mines.py,5,typing.Any,Any,high
gpu_env/_core/_mines.py,5,typing.Dict,Dict,high
gpu_env/_core/_mines.py,7,numpy,np,high
gpu_env/_core/_mines.py,11,rl.global_state.build_global_state_batch,build_global_state_batch,high
gpu_env/_core/_mines.py,31,_episode_payload._build_episode_result_payload,_build_episode_result_payload,high
gpu_env/_core/_observations.py,2,__future__.annotations,annotations,high
gpu_env/_core/_observations.py,5,typing.Any,Any,high
gpu_env/_core/_observations.py,5,typing.Optional,Optional,high
gpu_env/_core/_observations.py,5,typing.Tuple,Tuple,high
gpu_env/_core/_observations.py,10,macro_actions.MacroAction,MacroAction,high
gpu_env/_core/_observations.py,31,_episode_payload._build_episode_result_payload,_build_episode_result_payload,high
gpu_env/_core/_remaining.py,2,__future__.annotations,annotations,high
gpu_env/_core/_rewards.py,2,__future__.annotations,annotations,high
gpu_env/_core/_rewards.py,4,math,math,high
gpu_env/_core/_rewards.py,5,typing.Any,Any,high
gpu_env/_core/_rewards.py,5,typing.Dict,Dict,high
gpu_env/_core/_rewards.py,7,numpy,np,high
gpu_env/_core/_rewards.py,10,macro_actions.MacroAction,MacroAction,high
gpu_env/_core/_rewards.py,11,rl.global_state.build_global_state_batch,build_global_state_batch,high
gpu_env/_core/_rewards.py,31,_episode_payload._build_episode_result_payload,_build_episode_result_payload,high
gpu_env/_core/_rules.py,2,__future__.annotations,annotations,high
gpu_env/_core/_rules.py,5,typing.Any,Any,high
gpu_env/_core/_rules.py,5,typing.Dict,Dict,high
gpu_env/_core/_rules.py,5,typing.Optional,Optional,high
gpu_env/_core/_rules.py,7,numpy,np,high
gpu_env/_core/_rules.py,11,rl.global_state.build_global_state_batch,build_global_state_batch,high
gpu_env/_core/_rules.py,31,_episode_payload._build_episode_result_payload,_build_episode_result_payload,high
gpu_env/_core/_scripted_red.py,2,__future__.annotations,annotations,high
gpu_env/_core/_state.py,22,__future__.annotations,annotations,high
