episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score
231,1,19.404,68.607,50,16,0,5.51339,3.42404,0.216667,OP2,scripted,OP2,3,0
232,1,11.781,45.045,21,7,0,5.601,3.59368,0.15,OP2,scripted,OP2,3,0
233,1,56.826,129.591,49,35,0,6.36151,3.50348,0.241667,OP2,scripted,OP2,3,0
234,1,22.869,60.984,29,10,0,6.62721,3.95874,0.141667,OP2,scripted,OP2,3,0
235,1,9.702,76.23,40,25,0,6.34013,4.06567,0.166667,OP2,scripted,OP2,3,0
236,1,69.3,134.442,59,35,0,6.3514,3.6168,0.25,OP2,scripted,OP2,3,0
237,1,103.95,143.451,84,26,0,5.71322,3.28917,0.241667,OP2,scripted,OP2,3,0
238,1,11.088,159.39,69,36,0,5.70191,3.4115,0.216667,OP2,scripted,OP2,3,0
239,1,31.878,95.634,52,30,0,7.02174,4.00775,0.191667,OP2,scripted,OP2,3,0
240,1,59.598,105.336,44,28,0,5.505,3.3399,0.216667,OP2,scripted,OP2,3,0
241,1,37.422,94.941,52,26,0,5.71838,3.6634,0.225,OP2,scripted,OP2,3,0
242,1,44.352,157.311,79,41,0,6.17955,3.82925,0.216667,OP2,scripted,OP2,3,0
243,1,32.571,58.212,23,19,0,5.94939,3.67519,0.183333,OP2,scripted,OP2,3,0
244,1,13.86,58.212,36,13,0,6.09345,3.45581,0.15,OP2,scripted,OP2,3,0
245,1,46.431,87.318,54,25,0,5.05767,3.52594,0.216667,OP2,scripted,OP2,3,0
246,1,40.194,78.309,44,17,0,4.83629,3.18527,0.2,OP2,scripted,OP2,3,0
247,1,33.264,103.95,56,29,0,5.57426,4.254,0.216667,OP2,scripted,OP2,3,0
248,1,13.167,49.203,41,12,0,5.10579,3.44354,0.15,OP2,scripted,OP2,3,0
249,1,41.58,88.704,68,13,0,6.29618,3.89205,0.2,OP2,scripted,OP2,3,0
250,1,56.826,84.546,57,29,0,6.80692,4.20223,0.183333,OP2,scripted,OP2,3,0
251,1,30.492,66.528,53,17,0,5.84995,3.31733,0.191667,OP2,scripted,OP2,3,0
252,1,11.781,47.124,26,11,0,8.05166,4.07961,0.125,OP2,scripted,OP2,3,0
253,1,22.176,85.932,42,18,0,6.19207,3.63816,0.225,OP2,scripted,OP2,3,0
254,1,15.939,50.589,25,20,0,6.68413,4.08724,0.208333,OP2,scripted,OP2,3,0
255,1,48.51,93.555,56,24,0,6.2725,3.72913,0.133333,OP2,scripted,OP2,3,0
256,1,20.097,94.248,46,25,0,6.41897,3.94441,0.175,OP2,scripted,OP2,3,0
257,1,15.939,105.336,65,32,0,5.1091,3.17804,0.191667,OP2,scripted,OP2,3,0
258,1,27.027,130.284,55,30,0,5.821,3.88856,0.241667,OP2,scripted,OP2,3,0
259,1,13.167,58.905,32,18,0,5.96359,3.86722,0.125,OP2,scripted,OP2,3,0
260,1,9.009,76.923,46,17,0,5.19983,3.40593,0.225,OP2,scripted,OP2,3,0
261,1,34.65,67.221,29,14,0,4.838,2.68154,0.183333,OP2,scripted,OP2,3,0
262,1,38.808,182.952,91,48,0,5.26911,3.52639,0.25,OP2,scripted,OP2,3,0
263,1,63.063,177.408,71,58,0,4.97782,3.10053,0.208333,OP2,scripted,OP2,3,0
264,1,16.632,60.984,36,20,0,5.58013,3.99322,0.125,OP2,scripted,OP2,3,0
265,1,13.167,35.343,20,12,0,5.96875,3.90543,0.15,OP2,scripted,OP2,3,0
266,1,24.948,111.573,67,13,0,5.97446,3.16355,0.2,OP2,scripted,OP2,3,0
267,1,28.413,76.23,49,15,0,6.3008,3.41528,0.183333,OP2,scripted,OP2,3,0
268,1,18.711,100.485,67,28,0,6.06354,4.18247,0.191667,OP2,scripted,OP2,3,0
269,1,13.86,58.212,46,11,0,5.39235,3.32621,0.125,OP2,scripted,OP2,3,0
270,1,54.747,99.792,48,21,0,4.98827,2.85344,0.166667,OP2,scripted,OP2,3,0
271,1,33.957,65.835,33,22,0,6.62282,4.24127,0.141667,OP2,scripted,OP2,3,0
272,1,15.939,58.212,34,16,0,5.40095,3.20637,0.15,OP2,scripted,OP2,3,0
273,1,13.167,68.607,35,15,0,5.0467,2.58649,0.225,OP2,scripted,OP2,3,0
274,1,24.948,133.056,61,34,0,5.95979,3.65082,0.208333,OP2,scripted,OP2,3,0
275,1,15.246,70.686,33,22,0,4.9767,2.72928,0.166667,OP2,scripted,OP2,3,0
276,1,15.246,49.896,33,17,0,5.56056,3.37168,0.158333,OP2,scripted,OP2,3,0
277,1,22.176,43.659,34,9,0,5.95781,4.50728,0.141667,OP2,scripted,OP2,3,0
278,1,27.72,127.512,59,30,0,5.71684,3.43277,0.241667,OP2,scripted,OP2,3,0
279,1,31.185,151.767,82,25,0,6.30522,3.91472,0.241667,OP2,scripted,OP2,3,0
