policy,map,requested_opponent,resolved_opponent,opponent,seed,blue_score,red_score,win,loss,draw,score_margin,wall_collisions,wall_collision_source,stuck_steps,stuck_source,repeated_blocked_movement,upper_lane_use,lower_lane_use,route_switches,route_source,episode_steps
baseline,map_a_open,OP8,OP8,OP8,7076,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,82
candidate,map_a_open,OP8,OP8,OP8,7076,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,81
baseline,map_a_open,OP8,OP8,OP8,7077,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,5.0,episode_info,77
candidate,map_a_open,OP8,OP8,OP8,7077,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,76
baseline,map_a_open,OP8,OP8,OP8,7078,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,93
candidate,map_a_open,OP8,OP8,OP8,7078,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,8.0,episode_info,103
baseline,map_a_open,OP8,OP8,OP8,7079,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,80
candidate,map_a_open,OP8,OP8,OP8,7079,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,3.0,episode_info,77
baseline,map_a_open,OP8,OP8,OP8,7080,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,70
candidate,map_a_open,OP8,OP8,OP8,7080,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,85
baseline,map_a_open,OP8,OP8,OP8,7081,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,90
