tick,b0_x,b0_y,b1_x,b1_y,r0_x,r0_y,r1_x,r1_y,a0_macro,a0_tgt,a1_macro,a1_tgt,blue_score,red_score
63,13.335719108581543,11.017065048217773,11.938210487365723,10.876077651977539,14.272369384765625,10.074509620666504,15.245240211486816,11.2145414352417,0,45,0,45,0,0
64,12.255552291870117,11.15548324584961,13.026090621948242,10.826700210571289,13.461719512939453,10.183319091796875,14.578850746154785,11.492395401000977,0,45,0,45,0,0
65,11.173398971557617,11.033557891845703,14.452981948852539,10.409802436828613,13.235647201538086,10.517206192016602,13.434022903442383,11.514449119567871,0,45,0,45,0,0
66,10.091245651245117,10.911632537841797,15.541422843933105,10.44469165802002,13.2015962600708,11.628100395202637,13.563669204711914,10.250980377197266,0,45,0,45,0,0
67,9.009092330932617,10.78970718383789,15.705065727233887,9.368057250976562,14.070972442626953,12.195064544677734,14.454659461975098,9.731678009033203,0,45,0,45,0,0
68,7.926939010620117,10.667781829833984,14.30844497680664,8.717950820922852,14.789613723754883,11.446187019348145,15.45053482055664,9.902992248535156,0,45,0,45,0,0
69,6.844785690307617,10.545856475830078,13.22530460357666,8.830770492553711,14.609342575073242,10.424049377441406,15.772685050964355,9.111971855163574,0,45,0,45,0,0
70,5.762632369995117,10.423931121826172,12.14216423034668,8.943591117858887,13.92868423461914,9.640487670898438,15.063642501831055,8.353999137878418,0,45,0,45,0,0
71,4.680479049682617,10.302005767822266,11.0590238571167,9.056410789489746,13.001558303833008,9.278828620910645,14.04624080657959,8.55932331085205,0,45,0,45,0,0
72,3.5983259677886963,10.18008041381836,9.975883483886719,9.169231414794922,11.993467330932617,9.163403511047363,13.022405624389648,8.729693412780762,0,45,0,45,0,0
73,3.5911378860473633,9.091104507446289,8.892743110656738,9.282051086425781,11.655278205871582,10.144674301147461,12.999554634094238,9.767354965209961,0,45,0,45,0,0
74,4.671586990356445,8.954904556274414,7.809602737426758,9.394871711730957,12.55661392211914,10.659317970275879,13.970353126525879,10.134526252746582,0,45,0,45,0,0
75,5.753854751586914,9.075807571411133,6.726462364196777,9.507691383361816,13.594311714172363,10.68048095703125,14.921241760253906,10.4412260055542,0,45,0,45,0,0
76,6.836122512817383,9.196709632873535,5.643321990966797,9.620512008666992,14.631001472473145,10.630101203918457,15.423199653625488,10.5260591506958,0,45,0,45,0,0
77,7.918390274047852,9.317611694335938,4.560181617736816,9.733331680297852,14.67214584350586,10.586073875427246,16.044185638427734,10.406022071838379,0,45,0,45,0,0
78,9.00065803527832,9.43851375579834,3.477041482925415,9.846152305603027,15.166029930114746,10.415412902832031,16.137405395507812,10.194219589233398,0,45,0,45,0,0
79,10.082925796508789,9.559415817260742,3.46069598197937,10.935029983520508,14.943724632263184,10.466774940490723,16.495460510253906,9.706830978393555,0,45,0,45,0,0
80,11.165193557739258,9.680317878723145,4.539961814880371,11.080310821533203,15.088907241821289,9.707967758178711,15.817610740661621,9.336160659790039,0,45,0,45,0,0
