episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score,opponent_switch_count
208,1,42.273,80.388,36,20,0,6.36584,4.38373,0.233333,OP2,scripted,OP2,3,0,3
209,1,15.246,53.361,33,10,0,5.34676,3.07549,0.15,OP2,scripted,OP2,3,0,3
210,1,12.474,40.887,30,8,0,6.35344,3.5248,0.141667,OP2,scripted,OP2,3,0,3
211,1,71.379,107.415,70,22,0,5.69475,3.42248,0.233333,OP2,scripted,OP2,3,0,3
212,1,21.483,73.458,39,18,0,6.3835,3.54085,0.133333,OP2,scripted,OP2,3,0,3
213,1,29.106,68.607,30,22,0,5.67524,3.56882,0.15,OP2,scripted,OP2,3,0,3
214,1,23.562,74.844,28,20,0,5.85429,3.59273,0.175,OP2,scripted,OP2,3,0,3
215,1,17.325,65.835,43,11,0,6.16269,3.65573,0.141667,OP2,scripted,OP2,3,0,3
216,1,15.246,65.835,35,13,0,6.24911,3.19134,0.191667,OP2,scripted,OP2,3,0,3
217,1,15.246,54.054,50,13,0,5.06376,3.3552,0.166667,OP2,scripted,OP2,3,0,3
218,1,30.492,103.257,53,28,0,6.84844,3.61617,0.208333,OP2,scripted,OP2,3,0,3
219,1,57.519,95.634,41,24,0,6.0598,3.39106,0.133333,OP2,scripted,OP2,3,0,3
220,1,56.826,76.23,49,13,0,6.26595,3.84434,0.175,OP2,scripted,OP2,3,0,3
221,1,11.781,43.659,30,12,0,5.34155,2.78025,0.108333,OP2,scripted,OP2,3,0,3
222,1,46.431,89.397,38,24,0,5.48631,3.47267,0.183333,OP2,scripted,OP2,3,0,3
223,1,39.501,67.221,44,19,0,6.07503,4.37298,0.216667,OP2,scripted,OP2,3,0,3
224,1,23.562,57.519,23,11,0,6.4844,3.46733,0.158333,OP2,scripted,OP2,3,0,3
225,1,12.474,38.115,23,12,0,4.78038,3.43932,0.141667,OP2,scripted,OP2,3,0,3
226,1,38.808,56.826,21,19,0,6.10612,3.92908,0.175,OP2,scripted,OP2,3,0,3
