first_capture_step,capture_latency,lost_after_leading,capture_conceded,opponent,eval_seed,blue_score,red_score,score_margin,win,loss,draw,terminated,episode_steps,tags_against,tags_for,cooldown_denials,captures_blue,captures_red,drops,pickups,tagged_while_carrying,ever_carried,carried_without_scoring,carry_steps,carry_frac,carrier_unescorted_frac,carrier_pressure_frac,mean_carrier_pressure,max_agents_forward,both_forward_frac,none_forward_frac,mean_team_separation,mean_formation_spread,blue_tagged_frac,cooldown_active_frac,trailing_frac,leading_frac,conceded_first,train_seed
33,33,0,1,OP6,9400004,3.0,2.0,1.0,1,0,0,True,89,1,4,6,3,2,0,3,0,1,0,44,0.4943820224719101,0.09090909090909091,0.29545454545454547,0.3059683270244436,2,0.25842696629213485,0.4157303370786517,0.17078255029039435,0.03402998868367514,0.12359550561797752,0.6404494382022472,0.0,0.011235955056179775,0,3200003
29,29,0,1,OP6,9400005,3.0,1.0,2.0,1,0,0,True,116,4,7,9,3,1,1,4,0,1,0,53,0.45689655172413796,0.5471698113207547,0.4528301886792453,0.2314058578801605,2,0.11206896551724138,0.31896551724137934,0.3115076670615837,0.08137108916356549,0.3275862068965517,0.7758620689655172,0.0,0.47413793103448276,0,3200003
26,26,0,1,OP6,9400006,3.0,1.0,2.0,1,0,0,True,104,5,4,3,3,1,0,3,1,1,0,43,0.41346153846153844,0.4186046511627907,0.3488372093023256,0.2767277233475863,2,0.1346153846153846,0.4807692307692308,0.21186444718533984,0.06914593777484977,0.40384615384615385,0.6634615384615384,0.0,0.75,0,3200003
49,49,0,1,OP6,9400007,3.0,2.0,1.0,1,0,0,True,110,4,3,3,3,2,1,4,1,1,0,46,0.41818181818181815,0.4782608695652174,0.1956521739130435,0.2713450546497884,2,0.20909090909090908,0.43636363636363634,0.2375685508616946,0.09187146134473469,0.38181818181818183,0.5727272727272728,0.09090909090909091,0.0,1,3200003
28,28,0,1,OP6,9400008,3.0,1.0,2.0,1,0,0,True,88,2,4,8,3,1,0,3,0,1,0,44,0.5,0.4772727272727273,0.4090909090909091,0.25450656351379375,2,0.11363636363636363,0.4431818181818182,0.23397262953221798,0.08024806375959254,0.19318181818181818,0.6477272727272727,0.0,0.3977272727272727,0,3200003
31,31,0,1,OP6,9400009,3.0,2.0,1.0,1,0,0,True,92,1,3,3,3,2,0,3,0,1,0,43,0.4673913043478261,0.3023255813953488,0.2558139534883721,0.30859425343399827,2,0.30434782608695654,0.44565217391304346,0.1971414312315376,0.08085137060792792,0.07608695652173914,0.6847826086956522,0.0,0.21739130434782608,0,3200003
30,30,0,1,OP6,9400010,3.0,2.0,1.0,1,0,0,True,92,2,3,5,3,2,0,3,0,1,0,44,0.4782608695652174,0.1590909090909091,0.36363636363636365,0.2607257760722529,2,0.2608695652173913,0.5108695652173914,0.1417132501044999,0.0471952755533098,0.2608695652173913,0.5760869565217391,0.0,0.13043478260869565,0,3200003
27,27,0,1,OP6,9400011,3.0,2.0,1.0,1,0,0,True,90,3,3,5,3,2,0,3,0,1,0,44,0.4888888888888889,0.4318181818181818,0.20454545454545456,0.3017095196992159,2,0.12222222222222222,0.5,0.21118793648978074,0.039590795179537966,0.28888888888888886,0.6444444444444445,0.0,0.3111111111111111,0,3200003
31,31,0,1,OP6,9400012,3.0,1.0,2.0,1,0,0,True,89,3,4,6,3,1,0,3,1,1,0,43,0.48314606741573035,0.3953488372093023,0.4418604651162791,0.2252454858186633,2,0.21348314606741572,0.5280898876404494,0.2073061369945494,0.09488196364339713,0.34831460674157305,0.6179775280898876,0.0,0.39325842696629215,0,3200003
84,84,0,1,OP6,9400013,2.0,3.0,-1.0,0,1,0,True,132,7,5,23,2,3,3,5,3,1,0,35,0.26515151515151514,0.4,0.6857142857142857,0.18128427362867763,2,0.23484848484848486,0.32575757575757575,0.2440722638628248,0.09218512684244408,0.3939393939393939,0.6666666666666666,0.5,0.0,1,3200003
