o1_seed,g0_seed,arm,opponent,eval_seed,episode_key,blue_score,red_score,score_margin,win,loss,draw,captures_blue,captures_red,lead_seen,lost_after_leading,lead_preserved,c1_fired,c1_onset_step,c1_active_steps,handoff_occurred,steps_after_handoff,injected,terminated
3300001,3200001,A,OP9,9600021,OP9:9600021,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP9,9600022,OP9:9600022,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,34,35,0,0,0,True
3300001,3200001,A,OP9,9600023,OP9:9600023,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP9,9600024,OP9:9600024,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP9,9600025,OP9:9600025,1.0,0.0,1.0,1,0,0,1,0,1,0,1,1,164,23,0,0,0,True
3300001,3200001,A,OP9,9600026,OP9:9600026,1.0,1.0,0.0,0,0,1,1,1,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP9,9600027,OP9:9600027,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP9,9600028,OP9:9600028,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP9,9600029,OP9:9600029,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP10,9600000,OP10:9600000,1.0,0.0,1.0,1,0,0,1,0,1,0,1,1,159,1,0,0,0,True
3300001,3200001,A,OP10,9600001,OP10:9600001,3.0,0.0,3.0,1,0,0,3,0,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP10,9600002,OP10:9600002,1.0,0.0,1.0,1,0,0,1,0,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP10,9600003,OP10:9600003,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,84,31,0,0,0,True
3300001,3200001,A,OP10,9600004,OP10:9600004,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP10,9600005,OP10:9600005,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP10,9600006,OP10:9600006,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,154,14,0,0,0,True
3300001,3200001,A,OP10,9600007,OP10:9600007,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,232,4,0,0,0,True
3300001,3200001,A,OP10,9600008,OP10:9600008,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,214,7,0,0,0,True
3300001,3200001,A,OP10,9600009,OP10:9600009,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,66,39,0,0,0,True
3300001,3200001,A,OP10,9600010,OP10:9600010,1.0,1.0,0.0,0,0,1,1,1,1,0,1,1,132,15,0,0,0,True
3300001,3200001,A,OP10,9600011,OP10:9600011,1.0,0.0,1.0,1,0,0,1,0,1,0,1,1,180,6,0,0,0,True
3300001,3200001,A,OP10,9600012,OP10:9600012,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,135,4,0,0,0,True
3300001,3200001,A,OP10,9600013,OP10:9600013,1.0,0.0,1.0,1,0,0,1,0,1,0,1,1,110,10,0,0,0,True
3300001,3200001,A,OP10,9600014,OP10:9600014,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP10,9600015,OP10:9600015,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP10,9600016,OP10:9600016,1.0,0.0,1.0,1,0,0,1,0,1,0,1,1,224,1,0,0,0,True
3300001,3200001,A,OP10,9600017,OP10:9600017,3.0,1.0,2.0,1,0,0,3,1,1,0,1,1,58,15,0,0,0,True
3300001,3200001,A,OP10,9600018,OP10:9600018,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP10,9600019,OP10:9600019,2.0,1.0,1.0,1,0,0,2,1,1,0,1,1,94,17,0,0,0,True
3300001,3200001,A,OP10,9600020,OP10:9600020,2.0,1.0,1.0,1,0,0,2,1,1,0,1,1,41,14,0,0,0,True
