episode_id,timesteps,policy_update,rollout_step,latent_z,mode,map_set,opponent,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,near_misses_per_episode,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
80,1600,0,200,0,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.23999999463558197,1,0,1,11.0,10.563434176974827,-1.0,-0.5,0.024956822395324707,0.0,-1.0,-100.0,0.0,-0.8465247750282288
81,1664,0,208,1,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,20,0.19999998807907104,1,0,2,13.0,10.173678588867187,1.0,0.4000000059604645,-0.02071857452392578,0.029999999329447746,1.0,100.0,-0.20000000298023224,0.8013309240341187
82,1680,0,210,1,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,16,0.1599999964237213,1,0,0,11.0,11.694541931152344,1.0,0.0,-0.011587679386138916,0.0,0.0,0.0,-0.20000000298023224,0.37746748328208923
83,1680,0,210,0,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.11999999731779099,1,0,3,11.0,11.496405707465279,-1.0,-0.4000000059604645,-0.009585946798324585,0.019999999552965164,-1.0,-100.0,0.0,-0.8328588008880615
84,1704,0,213,2,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.19999998807907104,1,0,0,12.0,12.097979093852796,1.0,0.5,-0.0017323344945907593,0.029999999329447746,1.0,100.0,-0.20000000298023224,0.8200817108154297
85,1720,0,215,0,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.2800000011920929,1,0,4,12.0,10.313181826942845,-1.0,0.0,0.00932687520980835,0.019999999552965164,0.0,0.0,0.0,-0.45633167028427124
86,1728,0,216,3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.3199999928474426,1,0,2,12.0,10.06449974907769,1.0,0.4000000059604645,-0.004664525389671326,0.029999999329447746,1.0,100.0,0.0,0.8355763554573059
87,1736,0,217,3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.19999998807907104,1,0,2,12.0,9.501729329427084,1.0,0.5,0.005044162273406982,0.014999999664723873,1.0,100.0,0.0,0.8496828675270081
88,1744,0,218,2,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.2800000011920929,1,0,1,12.0,10.657335069444445,1.0,0.4000000059604645,0.009409517049789429,0.029999999329447746,1.0,100.0,-0.20000000298023224,0.8040101528167725
89,1800,0,225,1,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,17,0.1599999964237213,1,0,0,11.0,10.42274834127987,1.0,0.4000000059604645,0.01773121953010559,0.029999999329447746,1.0,100.0,0.0,0.8372583389282227
90,1832,0,229,2,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.23999999463558197,1,0,4,12.0,10.244693153782896,1.0,0.5,-0.009143292903900146,0.014999999664723873,1.0,100.0,0.0,0.8486936688423157
91,1832,0,229,3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.23999999463558197,1,0,3,12.0,9.939169632761102,1.0,0.5,-0.008574604988098145,0.029999999329447746,1.0,100.0,0.0,0.8497788310050964
92,1856,0,232,2,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.23999999463558197,1,0,0,12.0,10.363232261256167,1.0,0.5,0.02320365607738495,0.029999999329447746,1.0,100.0,0.0,0.8519715666770935
93,1864,0,233,2,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.23999999463558197,1,0,3,11.0,11.06657494439019,1.0,0.4000000059604645,0.01769968867301941,0.029999999329447746,1.0,100.0,0.0,0.8372559547424316
94,1872,0,234,2,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,18,0.23999999463558197,1,0,0,11.0,10.25840589735243,-0.5,0.0,0.002248018980026245,0.0,0.0,0.0,0.0,-0.24439027905464172
95,1872,0,234,2,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,17,0.1599999964237213,1,0,1,11.0,11.07842389275046,1.0,0.0,0.017531543970108032,0.0,0.0,0.0,-0.4000000059604645,0.2953183948993683
96,1896,0,237,0,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.19999998807907104,1,0,1,12.0,11.701798288445724,1.0,0.5,-0.017634540796279907,0.014999999664723873,1.0,100.0,0.0,0.848098874092102
97,1960,0,245,1,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,20,0.19999998807907104,1,0,1,13.0,10.615140533447265,-1.0,-0.5,-0.007501870393753052,0.0,-1.0,-100.0,-0.20000000298023224,-0.874495267868042
98,1984,0,248,3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.2800000011920929,1,0,7,12.0,10.16531773617393,1.0,1.0,-0.008582442998886108,0.029999999329447746,2.0,200.0,0.0,0.9644039273262024
99,1984,0,248,3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.2800000011920929,1,0,1,12.0,9.999717310855264,1.0,0.5,-0.02342405915260315,0.014999999664723873,1.0,100.0,0.0,0.8476920127868652
100,2008,0,251,2,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.19999998807907104,1,0,5,12.0,9.00724872789885,-1.0,-0.4000000059604645,-0.012279093265533447,0.0,-1.0,-100.0,-0.20000000298023224,-0.8625113368034363
101,2016,0,252,3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.23999999463558197,1,0,4,12.0,9.895800941868833,1.0,0.4000000059604645,-0.020551741123199463,0.029999999329447746,1.0,100.0,-0.20000000298023224,0.8013458251953125
102,2016,0,252,1,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.3199999928474426,1,0,0,11.0,10.397367689344618,1.0,0.4000000059604645,0.007380783557891846,0.02499999850988388,1.0,100.0,0.0,0.8361071944236755
103,2040,0,255,3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,21,0.23999999463558197,1,0,5,14.0,9.761911301385789,-1.0,-0.5,0.003329336643218994,0.019999999552965164,-1.0,-100.0,0.0,-0.8466400504112244
104,2040,0,255,3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.2800000011920929,1,0,1,11.0,11.400733947753906,-1.0,-0.4000000059604645,-0.019922226667404175,0.0,-1.0,-100.0,-0.20000000298023224,-0.8629997968673706
105,2104,0,263,0,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.35999998450279236,1,0,0,11.0,10.062723795572916,-1.0,-0.5,-0.026333719491958618,0.0,-1.0,-100.0,0.0,-0.8501194715499878
106,2136,0,267,0,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,19,0.35999998450279236,1,0,2,12.0,9.44263337787829,-0.5,0.5,-0.02037745714187622,0.0,1.0,100.0,0.0,0.4581013321876526
