condition,opponent,seed,episode_index,opportunity_index,step,selected_z,prev_z,switch_occurred,logit_0,logit_1,logit_2,logit_3,prob_0,prob_1,prob_2,prob_3
learned_qphi_switching,OP6,2000,0,2,64,1,1,0,-0.019219640642404556,0.05472106486558914,-0.05631819739937782,0.017203286290168762,0.24525322020053864,0.2640746831893921,0.23632140457630157,0.2543507516384125
learned_qphi_switching,OP6,2000,0,3,96,3,1,1,-0.06076964735984802,-0.011130579747259617,-0.03867269307374954,0.049147069454193115,0.23869654536247253,0.25084424018859863,0.2440297156572342,0.2664295434951782
learned_qphi_switching,OP6,2001,0,0,0,3,3,0,-0.13616228103637695,0.04987537860870361,0.00016120076179504395,0.10994754731655121,0.21600322425365448,0.2601689100265503,0.2475510537624359,0.2762767970561981
learned_qphi_switching,OP6,2001,0,1,32,1,3,1,-0.07380393147468567,0.03145744651556015,-0.018608521670103073,0.00784841924905777,0.2351377308368683,0.2612382471561432,0.24848110973834991,0.2551429271697998
learned_qphi_switching,OP6,2001,0,2,64,1,1,0,-0.016083914786577225,0.029815077781677246,-0.0541108064353466,-0.004205226898193359,0.24865692853927612,0.2603360116481781,0.23937879502773285,0.25162824988365173
learned_qphi_switching,OP6,2001,0,3,96,3,1,1,-0.05373620614409447,0.0033136019483208656,-0.030690811574459076,0.05477048456668854,0.23828622698783875,0.25227564573287964,0.24384137988090515,0.26559674739837646
learned_qphi_switching,OP6,2001,0,4,128,3,3,0,-0.05554908141493797,0.04571511596441269,-0.04300132393836975,0.046207599341869354,0.23661303520202637,0.2618286609649658,0.23960070312023163,0.2619576156139374
learned_qphi_switching,OP6,2001,0,5,160,1,3,1,-0.01727963611483574,0.0328371487557888,-0.07156121730804443,-0.0025473274290561676,0.24916525185108185,0.2619708478450775,0.23600070178508759,0.25286322832107544
learned_qphi_switching,OP6,2002,0,0,0,3,1,1,-0.12232906371355057,0.04932188242673874,0.005409326404333115,0.12416395545005798,0.21724726259708405,0.2579297423362732,0.2468484789133072,0.2779744863510132
learned_qphi_switching,OP6,2002,0,1,32,1,3,1,-0.08217346668243408,0.0962546169757843,-0.024344947189092636,0.02573534846305847,0.22889494895935059,0.2736065685749054,0.24252179265022278,0.25497663021087646
learned_qphi_switching,OP6,2002,0,2,64,1,1,0,-0.07093584537506104,0.09168513119220734,-0.01969287171959877,0.026625648140907288,0.23085898160934448,0.2716265022754669,0.24299722909927368,0.25451722741127014
learned_qphi_switching,OP6,2002,0,3,96,3,1,1,-0.07608529180288315,0.009627589024603367,-0.03692369535565376,0.017351482063531876,0.23655350506305695,0.25772351026535034,0.24600110948085785,0.2597218453884125
learned_qphi_switching,OP6,2002,0,4,128,1,3,1,-0.06902509182691574,0.05095390975475311,-0.04986446350812912,0.04170235991477966,0.234526589512825,0.2644224166870117,0.2390635758638382,0.2619873881340027
