opponent,seed,episode_index,opportunity_index,step,selected_z,prev_z,switch_occurred,logit_0,logit_1,logit_2,logit_3,prob_0,prob_1,prob_2,prob_3
OP6,2010,0,3,96,3,1,1,-0.04372397065162659,0.023307275027036667,-0.08547459542751312,0.043874215334653854,0.24271920323371887,0.2595466375350952,0.2327941507101059,0.2649400234222412
OP6,2011,0,0,0,3,3,0,-0.12707754969596863,0.04921945184469223,0.0006335712969303131,0.12082700431346893,0.21690306067466736,0.2587202787399292,0.24645060300827026,0.2779260575771332
OP6,2011,0,1,32,1,3,1,-0.07938724756240845,0.010369143448770046,-0.03825655207037926,0.002599213272333145,0.23689177632331848,0.25913774967193604,0.24683843553066254,0.25713205337524414
OP6,2011,0,2,64,1,1,0,-0.041506800800561905,0.05366416648030281,-0.07215455174446106,0.016738589853048325,0.2421519160270691,0.2663300335407257,0.23484307527542114,0.25667500495910645
OP6,2011,0,3,96,3,1,1,-0.04370979964733124,0.013761964626610279,-0.07198667526245117,0.05139615014195442,0.24206921458244324,0.25638890266418457,0.23532012104988098,0.2662217617034912
OP6,2012,0,0,0,3,3,0,-0.15256720781326294,0.044641148298978806,-0.005153272300958633,0.12735040485858917,0.2127726525068283,0.25915661454200745,0.24656808376312256,0.2815026342868805
OP6,2012,0,1,32,1,3,1,-0.08476369827985764,0.08487483859062195,-0.03276574984192848,0.041255030781030655,0.22869931161403656,0.27098044753074646,0.24090582132339478,0.259414404630661
OP6,2012,0,2,64,3,1,1,-0.035624418407678604,0.03635473549365997,-0.0852300375699997,0.03855162486433983,0.2437102049589157,0.26189902424812317,0.23191577196121216,0.26247501373291016
OP6,2012,0,3,96,1,3,1,-0.06000833213329315,0.07281579077243805,-0.03299102187156677,0.05109485611319542,0.23326635360717773,0.26640161871910095,0.23965448141098022,0.2606775462627411
OP6,2013,0,0,0,3,1,1,-0.12517200410366058,0.05183922126889229,-0.00207509845495224,0.1185188740491867,0.21736350655555725,0.25945475697517395,0.24583682417869568,0.2773449420928955
OP6,2013,0,1,32,1,3,1,-0.08329112082719803,0.03320417180657387,-0.04412343353033066,0.029453236609697342,0.2334897816181183,0.26233795285224915,0.2428164929151535,0.26135575771331787
OP6,2013,0,2,64,1,1,0,-0.04444696754217148,0.09661875665187836,-0.025488562881946564,0.050807688385248184,0.23416031897068024,0.2696356773376465,0.23864194750785828,0.2575620412826538
OP6,2013,0,3,96,3,1,1,-0.07420499622821808,0.013892789371311665,-0.04747140407562256,0.0604994036257267,0.23455527424812317,0.2561566233634949,0.2409103363752365,0.26837778091430664
OP6,2013,0,4,128,3,3,0,-0.08302301168441772,0.022615864872932434,-0.07305943965911865,0.06265592575073242,0.233739972114563,0.25978338718414307,0.23608049750328064,0.2703961431980133
OP6,2014,0,0,0,3,3,0,-0.14693628251552582,0.045970987528562546,-0.0014444999396800995,0.12093620002269745,0.21383243799209595,0.2593296468257904,0.24732035398483276,0.2795175611972809
OP6,2014,0,1,32,1,3,1,-0.05555735155940056,0.0430898442864418,-0.045159611850976944,0.019517403095960617,0.238544300198555,0.2632758319377899,0.24103756248950958,0.2571423351764679
OP6,2014,0,2,64,3,1,1,-0.055937591940164566,0.02972271665930748,-0.0598515160381794,0.05357532575726509,0.238023579120636,0.2593114972114563,0.23709379136562347,0.26557111740112305
OP6,2014,0,3,96,3,3,0,-0.04416278004646301,0.013255422934889793,-0.07698632776737213,0.05181415006518364,0.2422749549150467,0.25659307837486267,0.23445174098014832,0.26668021082878113
OP6,2015,0,0,0,3,3,0,-0.1463155448436737,0.049619145691394806,-0.005697246640920639,0.11678797006607056,0.21420644223690033,0.26057085394859314,0.24654842913150787,0.27867427468299866
OP6,2015,0,1,32,3,3,0,-0.08774267137050629,0.03639114648103714,-0.03334209322929382,0.047466520220041275,0.23079492151737213,0.26129844784736633,0.2436980903148651,0.26420852541923523
OP6,2015,0,2,64,1,3,1,-0.05027053505182266,0.009055006317794323,-0.06364669650793076,-0.0003850869834423065,0.24396288394927979,0.2588740289211273,0.24072131514549255,0.25644174218177795
OP6,2015,0,3,96,1,1,0,-0.04553943872451782,0.024345282465219498,-0.06438656151294708,0.016678284853696823,0.24284176528453827,0.2604197561740875,0.23830775916576385,0.25843074917793274
OP7,2000,0,0,0,3,1,1,-0.1488831341266632,0.04593927413225174,0.0003423728048801422,0.12569712102413177,0.21312837302684784,0.258971244096756,0.24742811918258667,0.2804722785949707
OP7,2000,0,1,32,1,3,1,-0.07640574872493744,0.01007886603474617,-0.035941578447818756,-0.008205516263842583,0.23797011375427246,0.2594670355319977,0.24779684841632843,0.25476595759391785
