kind,failure_label,outcome_step,band,band_start_off,band_end_off,episode_key,opponent,eval_seed,train_seed,window_start,window_end,window_len,opp_has_carrier,opp_home_threatened,opp_leading,score_diff_at_end,score_stratum,carrier_unescorted_frac,mean_escort_distance,mean_carrier_pressure,carrier_pressure_trend,carrier_pressure_increasing,defender_tag_available_frac,mean_nearest_ready_defender,own_cooldown_bound_frac,both_forward_frac,none_forward_frac,mean_team_separation,intervention_margin,mate_can_intervene,leading_frac,trailing_frac
failure,dropped_the_flag,109,middle,-20,-10,OP6:9400009,OP6,9400009,3200001,89,99,10,True,True,False,0.0,tied,1.0,0.30363309383392334,0.08269177377223969,-0.03569026291370392,True,0.8,0.06484664231538773,1.0,0.2,0.0,0.23437547087669372,-0.20287828892469406,0.0,0.0,0.0
failure,dropped_the_flag,109,latest,-10,0,OP6:9400009,OP6,9400009,3200001,99,109,10,True,True,False,0.0,tied,0.8571428571428571,0.4279442046369825,0.23542794159480504,-0.017269164323806763,True,1.0,0.25556390838963644,0.5,0.0,0.0,0.4243118792772293,-0.17238029624734605,0.2857142857142857,0.0,0.0
failure,tagged_while_carrying,14,middle,-20,-10,OP6:9400010,OP6,9400010,3200001,0,4,4,False,False,False,0.0,tied,0.0,nan,nan,nan,False,1.0,nan,0.0,0.0,1.0,0.11018508300185204,nan,0.0,0.0,0.0
failure,tagged_while_carrying,14,latest,-10,0,OP6:9400010,OP6,9400010,3200001,4,14,10,False,True,False,0.0,tied,0.0,nan,nan,nan,False,1.0,nan,0.8,0.6,0.2,0.07951006144285203,nan,0.0,0.0,0.0
failure,tagged_while_carrying,60,earliest,-30,-20,OP6:9400010,OP6,9400010,3200001,30,40,10,False,True,True,0.0,tied,0.0,nan,nan,nan,False,1.0,nan,1.0,0.2,0.6,0.1602535206824541,nan,0.0,0.4,0.0
failure,tagged_while_carrying,60,middle,-20,-10,OP6:9400010,OP6,9400010,3200001,40,50,10,False,True,False,0.0,tied,0.0,nan,nan,nan,False,0.8,nan,0.7,0.2,0.0,0.29044004939496515,nan,0.0,0.0,0.0
failure,tagged_while_carrying,60,latest,-10,0,OP6:9400010,OP6,9400010,3200001,50,60,10,True,True,False,0.0,tied,0.5,0.2293137162923813,0.13280705735087395,-0.07218796759843826,True,0.1,0.28827324509620667,1.0,0.6,0.0,0.34835361540317533,0.11206072568893433,0.5,0.0,0.0
failure,dropped_the_flag,60,earliest,-30,-20,OP6:9400010,OP6,9400010,3200001,30,40,10,False,True,True,0.0,tied,0.0,nan,nan,nan,False,1.0,nan,1.0,0.2,0.6,0.1602535206824541,nan,0.0,0.4,0.0
failure,dropped_the_flag,60,middle,-20,-10,OP6:9400010,OP6,9400010,3200001,40,50,10,False,True,False,0.0,tied,0.0,nan,nan,nan,False,0.8,nan,0.7,0.2,0.0,0.29044004939496515,nan,0.0,0.0,0.0
failure,dropped_the_flag,60,latest,-10,0,OP6:9400010,OP6,9400010,3200001,50,60,10,True,True,False,0.0,tied,0.5,0.2293137162923813,0.13280705735087395,-0.07218796759843826,True,0.1,0.28827324509620667,1.0,0.6,0.0,0.34835361540317533,0.11206072568893433,0.5,0.0,0.0
failure,tagged_while_carrying,59,earliest,-30,-20,OP6:9400011,OP6,9400011,3200001,29,39,10,False,True,True,0.0,tied,0.0,nan,nan,nan,False,1.0,nan,0.7,0.1,0.7,0.29295074194669724,nan,0.0,0.4,0.0
failure,tagged_while_carrying,59,middle,-20,-10,OP6:9400011,OP6,9400011,3200001,39,49,10,False,True,False,0.0,tied,0.0,nan,nan,nan,False,1.0,nan,0.2,0.1,0.0,0.3842472106218338,nan,0.0,0.0,0.0
failure,tagged_while_carrying,59,latest,-10,0,OP6:9400011,OP6,9400011,3200001,49,59,10,True,True,False,0.0,tied,0.25,0.14656911231577396,0.21986835077404976,-0.21306706964969635,True,1.0,0.46723777800798416,1.0,0.5,0.0,0.2794321574270725,0.3206686656922102,1.0,0.0,0.0
failure,dropped_the_flag,59,earliest,-30,-20,OP6:9400011,OP6,9400011,3200001,29,39,10,False,True,True,0.0,tied,0.0,nan,nan,nan,False,1.0,nan,0.7,0.1,0.7,0.29295074194669724,nan,0.0,0.4,0.0
failure,dropped_the_flag,59,middle,-20,-10,OP6:9400011,OP6,9400011,3200001,39,49,10,False,True,False,0.0,tied,0.0,nan,nan,nan,False,1.0,nan,0.2,0.1,0.0,0.3842472106218338,nan,0.0,0.0,0.0
failure,dropped_the_flag,59,latest,-10,0,OP6:9400011,OP6,9400011,3200001,49,59,10,True,True,False,0.0,tied,0.25,0.14656911231577396,0.21986835077404976,-0.21306706964969635,True,1.0,0.46723777800798416,1.0,0.5,0.0,0.2794321574270725,0.3206686656922102,1.0,0.0,0.0
