policy_seed,opponent,eval_seed,episode_key,step_i,score_stratum,failure_labels_at_t,step,time_remaining_frac,blue_score,red_score,score_diff,blue_carrying,red_carrying,blue_tagged,red_tagged,blue_cooldown_active,agents_forward,formation_spread,team_separation,carrier_present,carrier_pressure,carrier_under_pressure,escort_available,escort_distance,carrier_unescorted,red_tag_ready_count,nearest_ready_defender,defender_tag_available,home_threatened,our_flag_away_from_home,nearest_red_to_our_flag,nearest_blue_to_our_flag,blue_alive_count,red_alive_count,intervention_margin,mate_can_intervene
3200001,OP6,9400000,OP6:9400000,52,leading,,52,0.7833333333333333,1.0,0.0,1.0,1,1,1,0,1,0,0.05466008186340332,0.07275988161563873,1.0,0.1828632354736328,0.0,1.0,0.07275988161563873,0.0,1,0.1828632354736328,1.0,1.0,1.0,0.0,0.11053426563739777,2,2,0.11010335385799408,1.0
3200001,OP6,9400000,OP6:9400000,53,leading,,53,0.7791666666666667,1.0,0.0,1.0,1,1,1,0,1,0,0.0452757366001606,0.06638248264789581,1.0,0.16071733832359314,1.0,1.0,0.06638248264789581,0.0,1,0.18229186534881592,1.0,1.0,1.0,0.0,0.13869129121303558,2,2,0.1159093827009201,1.0
3200001,OP6,9400000,OP6:9400000,54,leading,,54,0.775,1.0,0.0,1.0,1,1,1,0,1,0,0.03589139133691788,0.06079430133104324,1.0,0.17266935110092163,1.0,1.0,0.06079430133104324,0.0,1,0.2212161123752594,1.0,1.0,1.0,0.0,0.21209082007408142,2,2,0.16042181104421616,1.0
3200001,OP6,9400000,OP6:9400000,55,leading,,55,0.7708333333333334,1.0,0.0,1.0,1,1,1,0,1,0,0.026507044211030006,0.05623110383749008,1.0,0.20688064396381378,0.0,1.0,0.05623110383749008,0.0,1,0.2811979055404663,1.0,1.0,1.0,0.0,0.2811979055404663,2,2,0.22496680170297623,1.0
3200001,OP6,9400000,OP6:9400000,56,leading,,56,0.7666666666666666,1.0,0.0,1.0,1,1,0,0,1,0,0.017122745513916016,0.05295855551958084,1.0,0.2792108654975891,0.0,1.0,0.05295855551958084,0.0,1,0.3504800498485565,1.0,1.0,1.0,0.0,0.3504800498485565,2,2,0.2975214943289757,1.0
3200001,OP6,9400000,OP6:9400000,57,leading,,57,0.7625,1.0,0.0,1.0,1,1,0,0,0,0,0.0632564052939415,0.06340421736240387,1.0,0.3435302972793579,0.0,1.0,0.06340421736240387,0.0,1,0.42599359154701233,1.0,1.0,1.0,0.0,0.4090002179145813,2,2,0.36258937418460846,1.0
3200001,OP6,9400000,OP6:9400000,58,leading,,58,0.7583333333333333,2.0,0.0,2.0,0,1,0,0,0,0,0.07586326450109482,0.10816310346126556,0.0,nan,0.0,0.0,nan,0.0,1,nan,1.0,1.0,1.0,0.0,0.39589613676071167,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,59,leading,,59,0.7541666666666667,2.0,0.0,2.0,0,1,0,0,0,0,0.048717547208070755,0.16817262768745422,0.0,nan,0.0,0.0,nan,0.0,1,nan,1.0,1.0,1.0,0.0,0.38702672719955444,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,60,leading,,60,0.75,2.0,0.0,2.0,0,1,0,0,0,0,0.04525284841656685,0.17005375027656555,0.0,nan,0.0,0.0,nan,0.0,1,nan,1.0,1.0,1.0,0.0,0.3928442597389221,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,61,leading,,61,0.7458333333333333,2.0,0.0,2.0,0,1,0,0,0,0,0.08471369743347168,0.17456097900867462,0.0,nan,0.0,0.0,nan,0.0,1,nan,1.0,1.0,1.0,0.0,0.4071638584136963,2,2,nan,nan
