seed,pole,arm,composition,defender_ids,attacker_ids,blue_score,red_score,blue_win,draw,steps,blue_alive_end,red_alive_end,genome_id,pole_config_hash,attack_ticks,defend_ticks,attack_enemy_flag_branch_count,carrier_home_branch_count,defend_inward_count,defend_outward_count,tagged_ticks_by_role,role_switch_count
20200006,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",2,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,882,78,694,188,46,32,330,1
20200007,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",0,1,0,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,820,140,694,126,84,56,370,1
20200008,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",4,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,866,94,584,282,25,69,268,1
20200009,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",2,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,814,146,634,180,54,92,280,1
20200010,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",1,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,694,266,424,270,215,51,249,1
20200011,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",5,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,882,78,558,324,45,33,231,1
20200012,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",6,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,784,176,404,380,102,74,178,1
20200013,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",0,0,0,1,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,480,480,32,448,426,54,193,0
20200014,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",2,1,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,850,110,658,192,81,29,299,1
20200015,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",2,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,882,78,710,172,37,41,301,1
20200016,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",2,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,854,106,682,172,25,81,308,1
20200017,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",0,1,0,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,658,302,370,288,260,42,232,2
20200018,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",3,1,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,812,148,578,234,104,44,271,1
20200019,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",1,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,882,78,724,158,28,50,336,1
20200020,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",2,1,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,834,126,642,192,80,46,300,1
20200021,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",0,0,0,1,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,576,384,176,400,336,48,223,2
20200022,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",1,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,508,452,168,340,361,91,219,1
20200023,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",1,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,726,234,400,326,187,47,212,2
20200024,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",0,0,0,1,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,870,90,760,110,31,59,342,1
20200025,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",2,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,882,78,696,186,37,41,306,1
20200026,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",3,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,874,86,672,202,33,53,301,1
20200027,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",3,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,882,78,642,240,48,30,272,1
