scale,strategy,pole,seed,tick,agent,is_defender,carrying,tagged,teacher_tx,teacher_ty,adapt_category,adapt_macro,adapt_residual,committed_macro,commit_ticks_left,at_boundary,wants_switch,switch_blocked,exec_tx,exec_ty,exec_residual
4v4,GUARD,A,17600001,27,1,0,0,0,17.0,10.0,GET_FLAG,2,0.0,2,3,0,0,0,17.0,10.0,0.0
4v4,GUARD,A,17600001,27,2,1,0,0,4.5725,11.3704,WAYPOINT,0,0.8339,0,2,0,0,0,4.75,10.5556,0.8339
4v4,GUARD,A,17600001,27,3,1,0,0,2.0,10.0,GO_HOME,4,0.0,4,1,0,0,0,2.0,10.0,0.0
4v4,GUARD,A,17600001,28,0,0,0,0,17.0,10.0,GET_FLAG,2,0.0,2,3,0,0,0,17.0,10.0,0.0
4v4,GUARD,A,17600001,28,1,0,0,1,17.0,10.0,FORCED_HOME_TAGGED,0,15.0,2,0,1,1,0,2.0,10.0,15.0
4v4,GUARD,A,17600001,28,2,1,0,0,2.0,10.0,GO_HOME,4,0.0,0,0,1,1,0,4.75,10.5556,2.8056
4v4,GUARD,A,17600001,28,3,1,0,0,2.0,10.0,GO_HOME,4,0.0,4,0,1,0,0,2.0,10.0,0.0
4v4,GUARD,A,17600001,29,0,0,0,0,17.0,10.0,GET_FLAG,2,0.0,2,2,0,0,0,17.0,10.0,0.0
4v4,GUARD,A,17600001,29,1,0,0,1,17.0,10.0,FORCED_HOME_TAGGED,0,15.0,0,0,1,0,0,2.0,10.0,15.0
4v4,GUARD,A,17600001,29,2,1,0,0,2.0,10.0,GO_HOME,4,0.0,4,3,0,0,0,2.0,10.0,0.0
4v4,GUARD,A,17600001,29,3,1,0,0,2.0,10.0,GO_HOME,4,0.0,4,3,0,0,0,2.0,10.0,0.0
4v4,GUARD,A,17600001,30,0,0,0,0,17.0,10.0,GET_FLAG,2,0.0,2,1,0,0,0,17.0,10.0,0.0
4v4,GUARD,A,17600001,30,1,0,0,1,17.0,10.0,FORCED_HOME_TAGGED,0,15.0,0,0,1,0,0,2.0,10.0,15.0
4v4,GUARD,A,17600001,30,2,1,0,0,2.0,10.0,GO_HOME,4,0.0,4,2,0,0,0,2.0,10.0,0.0
4v4,GUARD,A,17600001,30,3,1,0,0,2.0,10.0,GO_HOME,4,0.0,4,2,0,0,0,2.0,10.0,0.0
4v4,GUARD,A,17600001,31,0,0,0,0,17.0,10.0,GET_FLAG,2,0.0,2,0,1,0,0,17.0,10.0,0.0
4v4,GUARD,A,17600001,31,1,0,0,1,17.0,10.0,FORCED_HOME_TAGGED,0,15.0,0,0,1,0,0,2.0,10.0,15.0
4v4,GUARD,A,17600001,31,2,1,0,0,2.0,10.0,GO_HOME,4,0.0,4,1,0,0,0,2.0,10.0,0.0
4v4,GUARD,A,17600001,31,3,1,0,0,2.0,10.0,GO_HOME,4,0.0,4,1,0,0,0,2.0,10.0,0.0
4v4,GUARD,A,17600001,32,0,0,0,0,17.0,10.0,GET_FLAG,2,0.0,2,3,0,0,0,17.0,10.0,0.0
4v4,GUARD,A,17600001,32,1,0,0,1,17.0,10.0,FORCED_HOME_TAGGED,0,15.0,0,0,1,0,0,2.0,10.0,15.0
4v4,GUARD,A,17600001,32,2,1,0,0,2.0,10.0,GO_HOME,4,0.0,4,0,1,0,0,2.0,10.0,0.0
4v4,GUARD,A,17600001,32,3,1,0,0,2.0,10.0,GO_HOME,4,0.0,4,0,1,0,0,2.0,10.0,0.0
4v4,GUARD,A,17600001,33,0,0,0,1,17.0,10.0,FORCED_HOME_TAGGED,0,15.0,2,0,1,1,0,2.0,10.0,15.0
4v4,GUARD,A,17600001,33,1,0,0,1,17.0,10.0,FORCED_HOME_TAGGED,0,15.0,0,0,1,0,0,2.0,10.0,15.0
4v4,GUARD,A,17600001,33,2,1,0,0,2.0,10.0,GO_HOME,4,0.0,4,3,0,0,0,2.0,10.0,0.0
