scale,style,seed,arm,tick,agent,native_target_x,native_target_y,desired_bearing_degrees,effective_bearing_degrees,committed_w50_idx_before,trace_hash,requested_w50_idx,committed_w50_idx,commit_ticks_left_before,decision_boundary,target_jump_cells,bearing_change_degrees,switch_request,blocked_switch,stale_switch,adopted,decision_lag_ticks,lag_censored,alive,carrying,tagged
2v2,GUARD,19600001,I1_W50_NO_COMMIT,44,1,4.582575,8.473466,-41.910968,-36.275935,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,14,0,0,1,0.247201,8.365883,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,45,0,17.0,10.0,-4.515077,10.812081,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,2.1e-05,0,0,0,0,,0,1,1,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,45,1,4.785763,8.88666,-7.448644,-57.282161,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,14,0,0,1,0.46045,34.462324,1,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,46,0,2.0,10.0,176.441312,174.982939,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,15.0,179.04361,1,0,0,1,,0,1,1,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,46,1,4.897987,9.224325,32.328698,-84.508997,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,14,0,0,1,0.355826,39.777342,1,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,47,0,2.0,10.0,173.76528,172.570528,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,2.676032,0,0,0,1,,0,1,1,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,47,1,4.942427,9.415086,51.818826,-95.306126,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,14,0,0,1,0.195869,19.490127,1,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,48,0,13.990087,9.093094,162.438762,-150.768065,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,34,0,0,1,12.024336,11.326518,1,0,0,0,,0,1,1,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,48,1,2.0,10.0,179.583849,173.121315,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,3.0,127.765023,1,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,49,0,13.066646,10.736691,133.467647,178.097943,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,35,0,0,1,1.885247,28.971115,0,0,0,0,,0,1,0,1
2v2,GUARD,19600001,I1_W50_NO_COMMIT,49,1,2.0,10.0,-163.585442,179.795587,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,16.830709,1,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,50,0,17.0,10.0,-1.770226,-179.394781,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,0,,0,1,0,1
