arm,pole,seed,pair,steps,blue,red,win,margin
pi_B,A,21100093,,240,2,1,1,1
pi_B,B,21100093,,240,0,1,0,-1
pi_A,A,21100094,,240,1,0,1,1
pi_A,B,21100094,,170,3,0,1,3
A_prime,A,21100094,0-3,240,1,1,0,0
A_prime,B,21100094,0-3,240,0,0,0,0
pi_B,A,21100094,,240,0,0,0,0
pi_B,B,21100094,,240,0,0,0,0
pi_A,A,21100095,,98,3,0,1,3
pi_A,B,21100095,,240,0,0,0,0
A_prime,A,21100095,1-2,237,3,1,1,2
A_prime,B,21100095,1-2,240,0,0,0,0
pi_B,A,21100095,,240,0,0,0,0
pi_B,B,21100095,,96,3,0,1,3
pi_A,A,21100096,,240,0,0,0,0
pi_A,B,21100096,,240,1,0,1,1
A_prime,A,21100096,1-3,193,3,1,1,2
A_prime,B,21100096,1-3,240,0,1,0,-1
pi_B,A,21100096,,240,1,1,0,0
pi_B,B,21100096,,240,0,0,0,0
pi_A,A,21100097,,240,1,0,1,1
pi_A,B,21100097,,95,3,0,1,3
A_prime,A,21100097,2-3,141,3,0,1,3
A_prime,B,21100097,2-3,240,1,2,0,-1
pi_B,A,21100097,,240,0,0,0,0
pi_B,B,21100097,,240,1,0,1,1
pi_A,A,21100098,,240,1,0,1,1
pi_A,B,21100098,,240,0,0,0,0
A_prime,A,21100098,0-1,240,2,0,1,2
A_prime,B,21100098,0-1,240,0,1,0,-1
pi_B,A,21100098,,240,0,0,0,0
pi_B,B,21100098,,240,1,0,1,1
pi_A,A,21100099,,240,2,0,1,2
pi_A,B,21100099,,85,3,0,1,3
A_prime,A,21100099,0-2,236,3,0,1,3
A_prime,B,21100099,0-2,240,0,1,0,-1
pi_B,A,21100099,,240,0,0,0,0
pi_B,B,21100099,,240,0,0,0,0
pi_A,A,21100100,,104,3,0,1,3
pi_A,B,21100100,,102,3,0,1,3
A_prime,A,21100100,0-3,240,2,0,1,2
A_prime,B,21100100,0-3,240,1,1,0,0
pi_B,A,21100100,,240,2,0,1,2
pi_B,B,21100100,,240,2,0,1,2
