policy,pole,arm,seed,defender_id,blue,red,win,margin,steps,sealed_blue,sealed_red,time_to_first_carry,time_to_first_carry_excl_defender,n_carry_starts,n_carry_starts_excl_defender,total_carry_ticks,total_carry_ticks_excl_defender,n_carry_clean_release,n_carry_tag_caught,red_carrying_ticks,n_red_carry_starts,tagged_ticks_total,tagged_fraction,first_tag_tick,mean_active_count
pi_A,A,plus_one_defender,20900012,2,3,0,1,3,135,3,0,18.0,18.0,8,8,55,55,2,5,0,0,183,0.22592592592592592,17.0,4.644444444444445
pi_A,B,native,20900012,2,3,0,1,3,107,3,0,13.0,13.0,7,6,50,48,2,4,0,0,178,0.2772585669781931,7.0,4.336448598130841
pi_A,B,plus_one_defender,20900012,2,1,0,1,1,240,1,0,16.0,16.0,12,12,41,41,1,11,0,0,502,0.3486111111111111,8.0,3.908333333333333
pi_B,A,native,20900012,2,0,0,0,0,240,0,0,12.0,14.0,4,3,225,223,0,3,224,1,52,0.03611111111111111,9.0,5.783333333333333
pi_B,A,plus_one_defender,20900012,2,1,0,1,1,240,1,0,13.0,13.0,7,7,196,196,1,5,178,1,199,0.13819444444444445,9.0,5.170833333333333
pi_B,B,native,20900012,2,1,0,1,1,240,1,0,13.0,13.0,5,4,209,27,1,3,195,1,127,0.08819444444444445,7.0,5.470833333333333
pi_B,B,plus_one_defender,20900012,2,0,0,0,0,240,0,0,13.0,13.0,8,8,20,20,0,8,0,0,548,0.38055555555555554,8.0,3.716666666666667
pi_A,A,native,20900013,3,0,0,0,0,240,0,0,14.0,14.0,2,1,226,4,0,1,221,1,47,0.03263888888888889,7.0,5.804166666666666
pi_A,A,plus_one_defender,20900013,3,1,0,1,1,240,1,0,14.0,14.0,6,6,188,188,1,4,172,2,237,0.16458333333333333,7.0,5.0125
pi_A,B,native,20900013,3,1,0,1,1,240,1,0,13.0,13.0,5,5,179,179,1,3,152,1,172,0.11944444444444445,8.0,5.283333333333333
pi_A,B,plus_one_defender,20900013,3,3,0,1,3,107,3,0,21.0,21.0,4,4,43,43,2,1,1,1,139,0.21651090342679127,18.0,4.700934579439252
