seed,pole,assignment_arm,defender_ids,attacker_ids,blue_score,red_score,blue_win,draw,steps,blue_flag_captures,red_flag_captures,blue_alive_end,red_alive_end,genome_id,pole_config_hash,attack_ticks,defend_ticks,attack_enemy_flag_branch_count,carrier_home_branch_count,defend_inward_count,defend_outward_count,tagged_ticks_by_role,role_switch_count
19800013,A,FARTHEST_DEFENDS,"1,2","0,3",2,2,0,1,240,2,2,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,388,92,292,188,235,0
19800014,A,FARTHEST_DEFENDS,"2,3","0,1",0,0,0,1,240,0,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,80,400,430,50,212,0
19800015,A,FARTHEST_DEFENDS,"0,3","1,2",0,0,0,1,240,0,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,54,426,411,69,197,0
19800016,A,FARTHEST_DEFENDS,"2,3","0,1",5,1,1,0,240,5,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,302,178,172,308,131,0
19800017,A,FARTHEST_DEFENDS,"0,3","1,2",0,0,0,1,240,0,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,56,424,416,64,202,0
19800018,A,FARTHEST_DEFENDS,"1,2","0,3",3,2,1,0,240,3,2,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,360,120,236,244,176,0
19800019,A,FARTHEST_DEFENDS,"0,1","2,3",3,1,1,0,240,3,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,226,254,319,161,180,0
19800020,A,FARTHEST_DEFENDS,"2,3","0,1",0,0,0,1,240,0,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,82,398,402,78,209,0
19800021,A,FARTHEST_DEFENDS,"0,3","1,2",0,0,0,1,240,0,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,52,428,428,52,227,0
19800022,A,FARTHEST_DEFENDS,"0,2","1,3",1,0,1,0,240,1,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,122,358,403,77,213,0
19800023,A,FARTHEST_DEFENDS,"0,1","2,3",1,0,1,0,240,1,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,116,364,388,92,208,0
19800024,A,FARTHEST_DEFENDS,"0,1","2,3",1,0,1,0,240,1,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,80,400,404,76,204,0
19800025,A,FARTHEST_DEFENDS,"1,3","0,2",2,2,0,1,240,2,2,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,308,172,314,166,167,0
19800026,A,FARTHEST_DEFENDS,"1,2","0,3",3,1,1,0,240,3,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,332,148,303,177,181,0
19800027,A,FARTHEST_DEFENDS,"0,2","1,3",2,0,1,0,240,2,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,214,266,343,137,158,0
19800028,A,FARTHEST_DEFENDS,"0,3","1,2",3,1,1,0,240,3,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,338,142,270,210,165,0
19800029,A,FARTHEST_DEFENDS,"1,3","0,2",0,1,0,0,240,0,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,102,378,408,72,200,0
19800030,A,FARTHEST_DEFENDS,"0,2","1,3",1,1,0,1,240,1,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,140,340,375,105,212,0
19800031,A,FARTHEST_DEFENDS,"1,3","0,2",2,0,1,0,240,2,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,380,100,92,388,161,0
19800032,A,FARTHEST_DEFENDS,"1,3","0,2",2,1,1,0,240,2,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,248,232,268,212,180,0
19800033,A,FARTHEST_DEFENDS,"1,2","0,3",0,0,0,1,240,0,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,86,394,387,93,201,0
19800034,A,FARTHEST_DEFENDS,"0,2","1,3",1,0,1,0,240,1,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,78,402,399,81,199,0
19800035,A,FARTHEST_DEFENDS,"1,3","0,2",2,1,1,0,240,2,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,386,94,139,341,198,0
19800036,A,FARTHEST_DEFENDS,"1,2","0,3",1,1,0,1,240,1,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,236,244,353,127,213,0
19800037,A,FARTHEST_DEFENDS,"0,3","1,2",1,0,1,0,240,1,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,166,314,361,119,182,0
19800038,A,FARTHEST_DEFENDS,"0,2","1,3",2,2,0,1,240,2,2,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,396,84,231,249,206,0
19800039,A,FARTHEST_DEFENDS,"2,3","0,1",3,1,1,0,240,3,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,346,134,232,248,171,0
19800040,A,FARTHEST_DEFENDS,"1,3","0,2",2,0,1,0,240,2,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,192,288,318,162,177,0
19800041,A,FARTHEST_DEFENDS,"0,1","2,3",2,1,1,0,240,2,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,270,210,327,153,192,0
19800042,A,FARTHEST_DEFENDS,"2,3","0,1",3,1,1,0,240,3,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,370,110,185,295,170,0
19800043,A,FARTHEST_DEFENDS,"1,3","0,2",3,0,1,0,240,3,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,300,180,264,216,155,0
