arm,z,pole,seed,blue,red,win,margin
RUNG0_BLOCK2,z1,B,11970029,1,0,1,1
RUNG0_BLOCK2,z1,B,11970030,0,0,0,0
RUNG0_BLOCK2,z1,B,11970031,0,0,0,0
RUNG0_BLOCK2,z1,B,11970032,1,0,1,1
RUNG0_BLOCK2,z1,B,11970033,0,0,0,0
RUNG0_BLOCK2,z1,B,11970034,1,0,1,1
RUNG0_BLOCK2,z1,B,11970035,0,0,0,0
RUNG0_BLOCK2,z1,B,11970036,0,0,0,0
RUNG0_BLOCK2,z1,B,11970037,1,0,1,1
RUNG0_BLOCK2,z1,B,11970038,0,0,0,0
RUNG0_BLOCK2,z1,B,11970039,0,0,0,0
RUNG0_BLOCK2,z1,B,11970040,0,0,0,0
RUNG0_BLOCK2,z1,B,11970041,2,0,1,2
RUNG0_BLOCK2,z1,B,11970042,1,0,1,1
RUNG0_BLOCK2,z1,B,11970043,1,0,1,1
RUNG0_BLOCK2,z1,B,11970044,0,0,0,0
RUNG0_BLOCK2,z1,B,11970045,2,0,1,2
RUNG0_BLOCK2,z1,B,11970046,0,0,0,0
RUNG0_BLOCK2,z1,B,11970047,1,0,1,1
RUNG0_BLOCK2,z1,B,11970048,0,0,0,0
RUNG0_BLOCK2,z1,B,11970049,1,0,1,1
RUNG0_BLOCK2,z1,B,11970050,1,0,1,1
RUNG0_BLOCK2,z1,B,11970051,1,0,1,1
RUNG0_BLOCK2,z1,B,11970052,0,0,0,0
RUNG0_BLOCK2,z1,B,11970053,0,0,0,0
RUNG0_BLOCK2,z1,B,11970054,0,0,0,0
RUNG0_BLOCK2,z1,B,11970055,1,0,1,1
RUNG0_BLOCK2,z1,B,11970056,1,0,1,1
RUNG0_BLOCK2,z1,B,11970057,2,0,1,2
RUNG0_BLOCK2,z1,B,11970058,0,0,0,0
RUNG0_BLOCK2,z1,B,11970059,1,0,1,1
RUNG0_BLOCK2,z1,B,11970060,0,0,0,0
RUNG0_BLOCK2,z1,B,11970061,0,0,0,0
RUNG0_BLOCK2,z1,B,11970062,2,0,1,2
RUNG0_BLOCK2,z1,B,11970063,1,0,1,1
RUNG0_BLOCK2,z1,B,11970064,0,0,0,0
