policy,pole,arm,seed,defender_id,steps,blue,red,win,margin
pi_B,B,plus_one_defender,20900037,3,215,3,0,1,3
pi_A,A,native,20900038,4,240,2,0,1,2
pi_A,A,plus_one_defender,20900038,4,240,2,0,1,2
pi_A,B,native,20900038,4,102,3,0,1,3
pi_A,B,plus_one_defender,20900038,4,181,3,0,1,3
pi_B,A,native,20900038,4,240,1,0,1,1
pi_B,A,plus_one_defender,20900038,4,164,3,0,1,3
pi_B,B,native,20900038,4,188,3,0,1,3
pi_B,B,plus_one_defender,20900038,4,240,2,0,1,2
pi_A,A,native,20900039,5,204,3,0,1,3
pi_A,A,plus_one_defender,20900039,5,86,3,0,1,3
pi_A,B,native,20900039,5,104,3,0,1,3
pi_A,B,plus_one_defender,20900039,5,240,2,0,1,2
pi_B,A,native,20900039,5,240,1,0,1,1
pi_B,A,plus_one_defender,20900039,5,114,3,0,1,3
pi_B,B,native,20900039,5,240,1,0,1,1
pi_B,B,plus_one_defender,20900039,5,240,1,0,1,1
pi_A,A,native,20900040,0,90,3,0,1,3
pi_A,A,plus_one_defender,20900040,0,240,1,0,1,1
pi_A,B,native,20900040,0,92,3,0,1,3
pi_A,B,plus_one_defender,20900040,0,172,3,0,1,3
pi_B,A,native,20900040,0,111,3,1,1,2
pi_B,A,plus_one_defender,20900040,0,87,3,0,1,3
pi_B,B,native,20900040,0,240,2,0,1,2
pi_B,B,plus_one_defender,20900040,0,240,1,0,1,1
pi_A,A,native,20900041,1,240,2,1,1,1
pi_A,A,plus_one_defender,20900041,1,110,3,0,1,3
pi_A,B,native,20900041,1,192,3,0,1,3
pi_A,B,plus_one_defender,20900041,1,117,3,0,1,3
pi_B,A,native,20900041,1,240,1,0,1,1
pi_B,A,plus_one_defender,20900041,1,240,1,0,1,1
pi_B,B,native,20900041,1,240,1,0,1,1
pi_B,B,plus_one_defender,20900041,1,240,1,0,1,1
pi_A,A,native,20900042,2,240,2,0,1,2
pi_A,A,plus_one_defender,20900042,2,240,2,0,1,2
pi_A,B,native,20900042,2,240,2,0,1,2
pi_A,B,plus_one_defender,20900042,2,240,1,0,1,1
pi_B,A,native,20900042,2,240,1,0,1,1
pi_B,A,plus_one_defender,20900042,2,150,3,0,1,3
pi_B,B,native,20900042,2,90,3,0,1,3
pi_B,B,plus_one_defender,20900042,2,240,1,0,1,1
pi_A,A,native,20900043,3,240,2,0,1,2
pi_A,A,plus_one_defender,20900043,3,144,3,0,1,3
pi_A,B,native,20900043,3,114,3,0,1,3
pi_A,B,plus_one_defender,20900043,3,240,2,1,1,1
pi_B,A,native,20900043,3,240,1,0,1,1
pi_B,A,plus_one_defender,20900043,3,101,3,0,1,3
pi_B,B,native,20900043,3,240,1,0,1,1
pi_B,B,plus_one_defender,20900043,3,240,2,1,1,1
pi_A,A,native,20900044,4,240,1,0,1,1
pi_A,A,plus_one_defender,20900044,4,240,2,0,1,2
pi_A,B,native,20900044,4,105,3,0,1,3
pi_A,B,plus_one_defender,20900044,4,240,1,0,1,1
pi_B,A,native,20900044,4,240,1,0,1,1
pi_B,A,plus_one_defender,20900044,4,240,2,0,1,2
pi_B,B,native,20900044,4,94,3,0,1,3
pi_B,B,plus_one_defender,20900044,4,240,1,0,1,1
pi_A,A,native,20900045,5,240,1,0,1,1
pi_A,A,plus_one_defender,20900045,5,81,3,0,1,3
pi_A,B,native,20900045,5,118,3,0,1,3
pi_A,B,plus_one_defender,20900045,5,240,2,0,1,2
pi_B,A,native,20900045,5,240,1,0,1,1
pi_B,A,plus_one_defender,20900045,5,113,3,0,1,3
pi_B,B,native,20900045,5,91,3,0,1,3
pi_B,B,plus_one_defender,20900045,5,148,3,0,1,3
